Registration,Make,Model,Mileage,Price
151-D-12345,Ford,Focus,43300,12300
151-D-54321,Toyota,Yaris,35000,12000
151-D-67890,Audi,A4,90000,26000
152-C-98765,Volkswagen,Golf,110000,18000
152-G-45678,BMW,3 Series,65000,30000
152-KE-87654,Mercedes-Benz,E-Class,24000,40000
161-K-23456,Peguot,208,140000,9000
161-MH-65432,Renault,Clio,60000,13000
161-C-78901,Hyundai,i30,34000,15000
171-KE-10987,Kia,Ceed,75000,16500
171-K-98765,Skoda,Octavia,60000,19000
171-D-32109,Opel,Astra,30000,18500
172-MH-24680,Volvo,V40,25000,20000
172-D-86420,Fiat,500,40000,16000
172-C-97531,Mazda,CX-5,25000,20000
181-D-13579,Subaru,Impreza,50000,35000
181-KE-86420,Hyundai,Tucson,30000,24000
191-D-23568,Volkswagen,Passat,16000,25000
191-D-97643,Toyota,Corrolla,35000,22500
191-K-98743,Ford,Fiesta,30000,17000
191-MH-23456,Audi,Q5,42000,36000
192-KE-13579,Nissan,Qashqai,35000,24500
192-MH-4321,Hyundai,Ioniq,25000,20000
201-D-97531,BMW,5 Series,15000,45000
201-C-13579,Toyota,Camry,17500,30000
